10519 3.09 0 3.92692 0.529589 -0.314608
10553 3.1 0 3.92693 0.531402 -0.31378
10587 3.11 0 3.92693 0.533193 -0.312952
10621 3.12 0 3.92693 0.534972 -0.312115
10655 3.13 0 3.92693 0.536731 -0.311274
10689 3.14 0 3.92693 0.538477 -0.31043
10723 3.15 0 3.92693 0.540199 -0.309583
10757 3.16 0 3.92694 0.541909 -0.308732
10791 3.17 0 3.92694 0.543604 -0.307878
10825 3.18 0 3.92692 0.545277 -0.30702
10859 3.19 0 3.92693 0.546935 -0.306163
10893 3.2 0 3.92693 0.548579 -0.305301
10927 3.21 0 3.92693 0.550204 -0.304438
10961 3.22 0 3.92692 0.551811 -0.303573
10995 3.23 0 3.92693 0.553403 -0.302702
11029 3.24 0 3.92694 0.554979 -0.301832
11063 3.25 0 3.92693 0.556539 -0.300959
11097 3.26 0 3.92693 0.558077 -0.300085
11131 3.27 0 3.92694 0.5596 -0.299211
11165 3.28 0 3.92693 0.561108 -0.298334
11199 3.29 0 3.92694 0.562601 -0.297456
11233 3.3 0 3.92693 0.564078 -0.296579
11267 3.31 0 3.92694 0.565537 -0.295702
11301 3.32 0 3.92693 0.566976 -0.294824
11335 3.33 0 3.92693 0.568403 -0.293947
11369 3.34 0 3.92692 0.569813 -0.293068
11403 3.35 0 3.92693 0.571206 -0.29219
11437 3.36 0 3.92693 0.572587 -0.291312
11471 3.37 0 3.92693 0.573948 -0.290433
11505 3.38 0 3.92692 0.575293 -0.289556
11539 3.39 0 3.92692 0.57662 -0.28868
11573 3.4 0 3.92693 0.577937 -0.287803
11607 3.41 0 3.92694 0.57924 -0.286927
11641 3.42 0 3.92693 0.580524 -0.286056
11675 3.43 0 3.92693 0.581793 -0.285184
11709 3.44 0 3.92692 0.583046 -0.284314
11743 3.45 0 3.92691 0.584283 -0.283446
11777 3.46 0 3.92692 0.585504 -0.282576
11811 3.47 0 3.92693 0.586713 -0.281708
11845 3.48 0 3.92692 0.587905 -0.280847
11879 3.49 0 3.92693 0.589084 -0.279983
11913 3.5 0 3.92692 0.590248 -0.279126
11947 3.51 0 3.92692 0.591396 -0.27827
11981 3.52 0 3.92693 0.59253 -0.277417
12015 3.53 0 3.92694 0.593648 -0.276565
12049 3.54 0 3.92692 0.594751 -0.275718
12083 3.55 0 3.92692 0.595839 -0.274875
